customer_id,gender,age,senior_citizen,senior_label,married,number_of_dependents,number_of_referrals,tenure_in_months,tenure_group,offer,internet_service,internet_type,contract,payment_method,paperless_billing,monthly_charge,monthly_charge_group,total_charges,total_revenue,satisfaction_score,churn_label,churn_flag,churn_probability,predicted_churn,predicted_churn_flag,risk_level,prediction_result_type,revenue_at_risk,expected_annual_loss,high_risk_revenue,internet_contract_segment,senior_payment_segment,action_segment,recommended_action
8883-GRDWQ,Male,68,Yes,,No,0,0,20,13-24 months,,Yes,DSL,One Year,Credit Card,No,54.0,Medium,1055.9,1502.1,4,No,0,0.04042958681898274,No,0,Low Risk,True Negative,2.183197688225068,26.198372258700815,0.0,DSL + One Year,nan + Credit Card,Low Priority,No urgent action. Continue regular customer monitoring
9845-PEEKO,Female,71,Yes,,No,0,0,59,49-72 months,,Yes,Fiber Optic,Two Year,Credit Card,Yes,79.2,High,4590.35,4952.02,5,No,0,0.022374024021950524,No,0,Low Risk,True Negative,1.7720227025384816,21.26427243046178,0.0,Fiber Optic + Two Year,nan + Credit Card,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package"
1751-NCDLI,Male,74,Yes,,Yes,0,6,46,25-48 months,,Yes,Fiber Optic,One Year,Bank Withdrawal,Yes,98.85,Very High,4564.9,4758.099999999999,5,No,0,0.08345697414097995,No,0,Low Risk,True Negative,8.249721893835869,98.99666272603042,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
2176-LVPNX,Female,69,Yes,,No,0,0,71,49-72 months,Offer A,Yes,DSL,Two Year,Credit Card,No,89.85,High,6293.45,9088.14,3,No,0,0.02238583471188932,No,0,Low Risk,True Negative,2.0113672488632552,24.136406986359063,0.0,DSL + Two Year,nan + Credit Card,Low Priority,No urgent action. Continue regular customer monitoring
3452-ABWRL,Male,70,Yes,,No,0,0,47,25-48 months,,Yes,Fiber Optic,One Year,Credit Card,Yes,86.05,High,3865.6,5937.36,3,No,0,0.2752724986372967,No,0,Low Risk,True Negative,23.687198507739378,284.2463820928725,0.0,Fiber Optic + One Year,nan + Credit Card,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package"
1779-PWPMG,Female,73,Yes,,Yes,0,1,72,49-72 months,Offer A,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,114.65,Very High,8333.95,8664.43,3,No,0,0.1716559692139645,No,0,Low Risk,True Negative,19.680356870381033,236.1642824445724,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Encourage a more stable or convenient payment method"
3082-WQRVY,Male,73,Yes,,Yes,0,8,14,13-24 months,,No,,One Year,Credit Card,No,19.65,Low,228.65,869.29,5,No,0,0.004719324811601629,No,0,Low Risk,True Negative,0.092734732547972,1.112816790575664,0.0,None + One Year,nan + Credit Card,Low Priority,Offer a trial premium support package
2460-NGXBJ,Male,65,Yes,,Yes,1,8,11,7-12 months,,Yes,Fiber Optic,One Year,Credit Card,Yes,75.2,High,775.3,1090.34,5,No,0,0.02490539053267024,No,0,Low Risk,True Negative,1.8728853680568023,22.47462441668163,0.0,Fiber Optic + One Year,nan + Credit Card,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Apply early-life retention follow-up"
5268-DSMNQ,Female,65,Yes,,Yes,0,5,62,49-72 months,,Yes,Fiber Optic,One Year,Credit Card,Yes,97.95,Very High,5936.55,6643.97,5,No,0,0.06045698435290145,No,0,Low Risk,True Negative,5.921761617366697,71.06113940840036,0.0,Fiber Optic + One Year,nan + Credit Card,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package"
6242-MBHPK,Female,67,Yes,,Yes,0,1,23,13-24 months,,Yes,Fiber Optic,One Year,Bank Withdrawal,Yes,95.1,Very High,2326.05,3289.29,3,No,0,0.607794545704329,Yes,1,Medium Risk,False Positive,57.801261296481684,693.6151355577801,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Monitor,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
4782-OSFXZ,Female,72,Yes,,Yes,0,1,71,49-72 months,Offer A,Yes,DSL,Two Year,Bank Withdrawal,Yes,82.7,High,5831.2,8495.83,3,No,0,0.13751342654800347,No,0,Low Risk,True Negative,11.372360375519888,136.46832450623864,0.0,DSL + Two Year,nan + Bank Withdrawal,Low Priority,Encourage a more stable or convenient payment method
1282-IHQAC,Male,68,Yes,,No,0,0,70,49-72 months,Offer A,Yes,Cable,One Year,Credit Card,Yes,44.05,Medium,3011.65,3011.65,3,No,0,0.13210417824113724,No,0,Low Risk,True Negative,5.819189051522095,69.83026861826514,0.0,Cable + One Year,nan + Credit Card,Low Priority,Offer a trial premium support package
1641-RQDAY,Female,77,Yes,,Yes,2,1,32,25-48 months,Offer C,Yes,Fiber Optic,One Year,Bank Withdrawal,Yes,100.4,Very High,3217.65,4792.37,3,No,0,0.23516290352500874,No,0,Low Risk,True Negative,23.61035551391088,283.32426616693056,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
5461-QKNTN,Male,71,Yes,,Yes,0,1,43,25-48 months,,Yes,Fiber Optic,One Year,Bank Withdrawal,Yes,94.3,High,3953.15,4150.52,3,No,0,0.373663935953461,Yes,1,Medium Risk,False Positive,35.236509160411366,422.83810992493636,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Monitor,"Review service quality, speed complaints, and support history | Encourage a more stable or convenient payment method"
8089-UZWLX,Female,75,Yes,,No,0,0,71,49-72 months,Offer A,Yes,Fiber Optic,Two Year,Bank Withdrawal,No,104.05,Very High,7413.55,10811.61,5,No,0,0.18221327089721398,No,0,Low Risk,True Negative,18.959290836855114,227.51149004226136,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
4468-KAZHE,Female,70,Yes,,Yes,0,1,20,13-24 months,,Yes,DSL,One Year,Bank Withdrawal,Yes,60.0,Medium,1259.35,1438.9499999999998,5,No,0,0.3167056916066383,Yes,1,Medium Risk,False Positive,19.002341496398298,228.02809795677956,0.0,DSL + One Year,nan + Bank Withdrawal,Monitor,Offer a trial premium support package | Encourage a more stable or convenient payment method
1543-LLLFT,Male,77,Yes,,Yes,0,2,61,49-72 months,,Yes,Fiber Optic,One Year,Credit Card,Yes,98.3,Very High,6066.55,6200.14,3,No,0,0.14091772224626745,No,0,Low Risk,True Negative,13.85221209680809,166.2265451616971,0.0,Fiber Optic + One Year,nan + Credit Card,Low Priority,"Review service quality, speed complaints, and support history"
6507-ZJSUR,Male,76,Yes,,Yes,0,6,23,13-24 months,,Yes,Fiber Optic,One Year,Bank Withdrawal,Yes,90.45,High,2117.25,3224.11,4,No,0,0.11485908499476735,No,0,Low Risk,True Negative,10.389004237776707,124.66805085332048,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
9220-ZNKJI,Female,67,Yes,,Yes,0,5,55,49-72 months,,Yes,Fiber Optic,Two Year,Credit Card,No,88.8,High,4805.3,6631.85,3,No,0,0.007790067947473587,No,0,Low Risk,True Negative,0.6917580337356545,8.301096404827854,0.0,Fiber Optic + Two Year,nan + Credit Card,Low Priority,"Review service quality, speed complaints, and support history"
0723-VSOBE,Female,67,Yes,,No,0,0,45,25-48 months,Offer B,Yes,Cable,One Year,Bank Withdrawal,No,34.2,Low,1596.6,1596.6,3,No,0,0.07291119236666845,No,0,Low Risk,True Negative,2.493562778940061,29.922753347280732,0.0,Cable + One Year,nan + Bank Withdrawal,Low Priority,Offer a trial premium support package | Encourage a more stable or convenient payment method
1004-NOZNR,Male,71,Yes,,No,2,0,56,49-72 months,Offer B,Yes,Fiber Optic,One Year,Credit Card,No,94.8,High,5264.3,5856.22,4,No,0,0.022236243327934047,No,0,Low Risk,True Negative,2.107995867488148,25.295950409857774,0.0,Fiber Optic + One Year,nan + Credit Card,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package"
1251-STYSZ,Female,66,Yes,,No,0,0,4,0-6 months,,Yes,Fiber Optic,One Year,Bank Withdrawal,Yes,80.25,High,303.7,368.7,4,No,0,0.3407692892733606,Yes,1,Medium Risk,False Positive,27.346735464187187,328.16082557024623,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Monitor,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
9681-KYGYB,Male,75,Yes,,Yes,0,5,49,49-72 months,Offer B,Yes,Fiber Optic,One Year,Bank Withdrawal,Yes,88.2,High,4159.45,5433.45,4,No,0,0.05366097950913016,No,0,Low Risk,True Negative,4.73289839270528,56.794780712463364,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
7005-CYUIL,Female,78,Yes,,Yes,0,2,71,49-72 months,Offer A,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,99.4,Very High,7168.25,8038.71,3,No,0,0.08807239760251413,No,0,Low Risk,True Negative,8.754396321689905,105.05275586027886,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Encourage a more stable or convenient payment method"
2388-LAESQ,Female,74,Yes,,Yes,0,3,72,49-72 months,Offer A,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,114.85,Very High,8317.95,10385.79,3,No,0,0.07867797933233861,No,0,Low Risk,True Negative,9.03616592631909,108.43399111582907,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Encourage a more stable or convenient payment method"
3108-PCCGG,Male,75,Yes,,Yes,0,3,72,49-72 months,Offer A,Yes,Cable,Two Year,Credit Card,No,84.45,High,5899.85,7103.6900000000005,3,No,0,0.022617524538229447,No,0,Low Risk,True Negative,1.9100499472534769,22.920599367041724,0.0,Cable + Two Year,nan + Credit Card,Low Priority,Offer a trial premium support package
6729-GDNGC,Female,71,Yes,,No,0,0,20,13-24 months,,Yes,Fiber Optic,One Year,Bank Withdrawal,No,80.7,High,1614.2,2044.0,5,No,0,0.3029078292388504,Yes,1,Medium Risk,False Positive,24.444661819575227,293.3359418349027,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Monitor,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
4238-HFHSN,Male,66,Yes,,Yes,0,4,61,49-72 months,Offer B,Yes,Fiber Optic,One Year,Bank Withdrawal,Yes,82.15,High,4904.85,6524.400000000001,3,No,0,0.08952443556605648,No,0,Low Risk,True Negative,7.354432381751541,88.25318858101849,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
2692-BUCFV,Male,79,Yes,,No,0,0,29,25-48 months,Offer C,Yes,Fiber Optic,One Year,Bank Withdrawal,Yes,101.45,Very High,2948.6,3199.71,4,No,0,0.2956533767709906,No,0,Low Risk,True Negative,29.994035073416995,359.92842088100394,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
5651-WYIPH,Female,69,Yes,,No,0,0,18,13-24 months,,Yes,Cable,One Year,Credit Card,Yes,49.85,Medium,865.75,1606.09,3,No,0,0.13272323212870643,No,0,Low Risk,True Negative,6.616253121616015,79.39503745939219,0.0,Cable + One Year,nan + Credit Card,Low Priority,Offer a trial premium support package
8752-GHJFU,Male,70,Yes,,Yes,0,7,71,49-72 months,,Yes,Fiber Optic,One Year,Bank Withdrawal,Yes,92.0,High,6585.2,9183.8,3,No,0,0.007139462907871028,No,0,Low Risk,True Negative,0.6568305875241346,7.8819670502896155,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Encourage a more stable or convenient payment method"
6896-SRVYQ,Male,69,Yes,,No,0,0,44,25-48 months,Offer B,Yes,Fiber Optic,One Year,Bank Withdrawal,No,73.85,High,3122.4,5293.040000000001,5,No,0,0.1533977269015607,No,0,Low Risk,True Negative,11.328422131680258,135.9410655801631,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
9052-VKDUW,Female,68,Yes,,Yes,0,8,65,49-72 months,Offer B,Yes,Fiber Optic,One Year,Credit Card,Yes,109.4,Very High,7227.45,8221.95,3,No,0,0.007609781169878853,No,0,Low Risk,True Negative,0.8325100599847465,9.990120719816957,0.0,Fiber Optic + One Year,nan + Credit Card,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package"
2480-EJWYP,Female,66,Yes,,Yes,0,5,58,49-72 months,Offer B,Yes,Fiber Optic,One Year,Bank Withdrawal,Yes,97.8,Very High,5458.8,8090.26,3,No,0,0.07833813022665924,No,0,Low Risk,True Negative,7.661469136167273,91.93762963400728,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
6806-YDEUL,Female,67,Yes,,No,0,0,6,0-6 months,Offer E,No,,Two Year,Bank Withdrawal,No,19.5,Low,106.8,118.98,3,No,0,0.036101639887567843,No,0,Low Risk,True Negative,0.703981977807573,8.447783733690876,0.0,None + Two Year,nan + Bank Withdrawal,Low Priority,Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up
0222-CNVPT,Male,69,Yes,,No,0,0,52,49-72 months,Offer B,Yes,DSL,Two Year,Credit Card,Yes,48.8,Medium,2555.05,2555.05,3,No,0,0.031220023546391928,No,0,Low Risk,True Negative,1.523537149063926,18.282445788767113,0.0,DSL + Two Year,nan + Credit Card,Low Priority,Offer a trial premium support package
6048-UWKAL,Female,73,Yes,,Yes,0,2,69,49-72 months,,Yes,Fiber Optic,Two Year,Credit Card,No,105.4,Very High,6998.95,8336.86,4,No,0,0.03837857447008273,No,0,Low Risk,True Negative,4.04510174914672,48.54122098976063,0.0,Fiber Optic + Two Year,nan + Credit Card,Low Priority,"Review service quality, speed complaints, and support history"
9290-SHCMB,Female,74,Yes,,No,0,0,13,13-24 months,,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,96.85,Very High,1235.55,1582.39,4,No,0,0.28507976317324624,No,0,Low Risk,True Negative,27.609975063328896,331.3197007599467,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
2277-BKJKN,Female,70,Yes,,Yes,0,6,71,49-72 months,,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,99.2,Very High,7213.75,8775.75,4,No,0,0.010770229525465936,No,0,Low Risk,True Negative,1.0684067689262209,12.82088122711465,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
8016-ZMGMO,Female,73,Yes,,Yes,0,0,66,49-72 months,,Yes,Cable,One Year,Bank Withdrawal,Yes,70.85,High,4738.85,7643.51,5,No,0,0.4034084108172315,Yes,1,Medium Risk,False Positive,28.58148590640085,342.97783087681023,0.0,Cable + One Year,nan + Bank Withdrawal,Monitor,Offer a trial premium support package | Encourage a more stable or convenient payment method
1728-CXQBE,Male,79,Yes,,Yes,0,9,64,49-72 months,Offer B,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,94.25,High,6081.4,7574.519999999999,3,No,0,0.002166976587350537,No,0,Low Risk,True Negative,0.2042375433577881,2.450850520293457,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
0481-SUMCB,Female,74,Yes,,No,0,0,45,25-48 months,Offer B,Yes,Fiber Optic,One Year,Bank Withdrawal,Yes,102.15,Very High,4735.35,6270.75,4,No,0,0.3765816983782193,Yes,1,Medium Risk,False Positive,38.467820489335104,461.6138458720212,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Monitor,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
2811-POVEX,Female,74,Yes,,Yes,3,4,23,13-24 months,,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,88.45,High,2130.55,2177.24,5,No,0,0.010694459637573879,No,0,Low Risk,True Negative,0.9459249549434097,11.351099459320917,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
7905-NJMXS,Male,68,Yes,,Yes,0,2,7,7-12 months,,Yes,Cable,Two Year,Bank Withdrawal,No,64.2,Medium,475.0,497.33,4,No,0,0.051871951016148866,No,0,Low Risk,True Negative,3.3301792552367573,39.96215106284109,0.0,Cable + Two Year,nan + Bank Withdrawal,Low Priority,Encourage a more stable or convenient payment method | Apply early-life retention follow-up
9957-YODKZ,Male,75,Yes,,Yes,0,4,6,0-6 months,,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,80.8,High,457.1,588.32,5,No,0,0.13361143441124498,No,0,Low Risk,True Negative,10.795803900428595,129.54964680514314,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
3223-DWFIO,Male,77,Yes,,No,0,0,4,0-6 months,,Yes,Fiber Optic,Two Year,Bank Withdrawal,No,69.35,High,261.65,382.09,3,No,0,0.11578714911323822,No,0,Low Risk,True Negative,8.029838791003069,96.35806549203683,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
3292-PBZEJ,Male,75,Yes,,No,0,0,11,7-12 months,,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,111.4,Very High,1183.05,1251.98,3,No,0,0.17143281923158296,No,0,Low Risk,True Negative,19.097616062398345,229.17139274878014,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
0993-OSGPT,Female,78,Yes,,Yes,0,2,68,49-72 months,,Yes,DSL,One Year,Bank Withdrawal,Yes,60.65,Medium,3975.9,6733.299999999999,5,No,0,0.07765828741873462,No,0,Low Risk,True Negative,4.709975131946255,56.51970158335506,0.0,DSL + One Year,nan + Bank Withdrawal,Low Priority,Encourage a more stable or convenient payment method
7108-DGVUU,Female,73,Yes,,Yes,0,4,21,13-24 months,,Yes,DSL,One Year,Bank Withdrawal,No,71.7,High,1497.05,2233.35,5,No,0,0.12140054782742733,No,0,Low Risk,True Negative,8.70441927922654,104.45303135071848,0.0,DSL + One Year,nan + Bank Withdrawal,Low Priority,Offer a trial premium support package | Encourage a more stable or convenient payment method
9906-NHHVC,Female,75,Yes,,No,0,0,65,49-72 months,Offer B,Yes,Cable,Two Year,Bank Withdrawal,Yes,53.5,Medium,3517.9,3517.9,3,No,0,0.028855402909140376,No,0,Low Risk,True Negative,1.5437640556390102,18.525168667668122,0.0,Cable + Two Year,nan + Bank Withdrawal,Low Priority,Offer a trial premium support package | Encourage a more stable or convenient payment method
8152-UOBNY,Female,66,Yes,,No,0,0,50,49-72 months,Offer B,Yes,Fiber Optic,One Year,Bank Withdrawal,Yes,106.8,Very High,5347.95,5877.95,3,No,0,0.17813687075550017,No,0,Low Risk,True Negative,19.02501779668742,228.300213560249,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Encourage a more stable or convenient payment method"
7351-KYHQH,Female,67,Yes,,No,0,0,7,7-12 months,,Yes,Cable,Two Year,Bank Withdrawal,Yes,64.95,Medium,493.65,548.39,4,No,0,0.11732769981609474,No,0,Low Risk,True Negative,7.620434103055354,91.44520923666425,0.0,Cable + Two Year,nan + Bank Withdrawal,Low Priority,Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up
6374-NTQLP,Male,67,Yes,,Yes,2,4,72,49-72 months,,Yes,Fiber Optic,Two Year,Credit Card,Yes,104.1,Very High,7447.7,8698.74,3,No,0,0.0025343883839143086,No,0,Low Risk,True Negative,0.2638298307654795,3.165957969185754,0.0,Fiber Optic + Two Year,nan + Credit Card,Low Priority,"Review service quality, speed complaints, and support history"
6267-DCFFZ,Female,68,Yes,,Yes,0,8,30,25-48 months,Offer C,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,90.05,High,2627.2,4059.7,5,No,0,0.006767272805780597,No,0,Low Risk,True Negative,0.6093929161605428,7.312714993926514,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
2439-LYPMQ,Male,79,Yes,,Yes,0,7,38,25-48 months,Offer C,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,102.6,Very High,4009.2,4143.889999999999,4,No,0,0.007231012604490121,No,0,Low Risk,True Negative,0.7419018932206864,8.902822718648238,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
7426-WEIJX,Male,71,Yes,,Yes,1,10,60,49-72 months,,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,80.95,High,4859.1,5903.370000000001,4,No,0,0.0005185641718850018,No,0,Low Risk,True Negative,0.041977769714090896,0.5037332365690907,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
3761-FLYZI,Female,69,Yes,,Yes,0,4,65,49-72 months,,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,108.8,Very High,7082.45,10215.38,5,No,0,0.0967931561522909,No,0,Low Risk,True Negative,10.531095389369248,126.37314467243098,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
1060-ENTOF,Female,70,Yes,,Yes,0,3,67,49-72 months,,Yes,Fiber Optic,One Year,Credit Card,Yes,105.4,Very High,7035.6,7214.490000000001,4,No,0,0.05958873550667042,No,0,Low Risk,True Negative,6.280652722403063,75.36783266883675,0.0,Fiber Optic + One Year,nan + Credit Card,Low Priority,"Review service quality, speed complaints, and support history"
0999-QXNSA,Male,72,Yes,,No,1,0,7,7-12 months,,Yes,DSL,Two Year,Credit Card,Yes,45.75,Medium,344.2,603.1800000000001,4,No,0,0.032761583171483484,No,0,Low Risk,True Negative,1.4988424300953693,17.986109161144434,0.0,DSL + Two Year,nan + Credit Card,Low Priority,Offer a trial premium support package | Apply early-life retention follow-up
9365-SRSZE,Male,71,Yes,,Yes,0,0,27,25-48 months,Offer C,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,70.55,High,1943.9,2737.14,3,No,0,0.25644426702103196,No,0,Low Risk,True Negative,18.092143038333806,217.10571646000568,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
4918-FYJNT,Female,68,Yes,,Yes,0,4,55,49-72 months,,Yes,Fiber Optic,Two Year,Bank Withdrawal,No,90.45,High,5044.8,6283.02,4,No,0,0.023725101070420578,No,0,Low Risk,True Negative,2.1459353918195414,25.751224701834495,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Encourage a more stable or convenient payment method"
4854-CIDCF,Female,74,Yes,,No,0,0,3,0-6 months,,Yes,Fiber Optic,Two Year,Bank Withdrawal,No,73.85,High,196.4,336.35,4,No,0,0.16025418016328052,No,0,Low Risk,True Negative,11.834771205058265,142.01725446069918,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
3280-MRDOF,Male,69,Yes,,No,0,0,30,25-48 months,,Yes,DSL,Two Year,Credit Card,Yes,69.1,High,2093.9,2670.42,3,No,0,0.03259704345197122,No,0,Low Risk,True Negative,2.252455702531211,27.02946843037453,0.0,DSL + Two Year,nan + Credit Card,Low Priority,No urgent action. Continue regular customer monitoring
6407-UTSLV,Female,76,Yes,,No,0,0,2,0-6 months,,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,83.8,High,163.7,229.66,3,No,0,0.20093502915664924,No,0,Low Risk,True Negative,16.838355443327206,202.0602653199265,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
5935-FCCNB,Female,79,Yes,,No,0,0,17,13-24 months,,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,94.2,High,1608.15,2118.98,4,No,0,0.2752412464012301,No,0,Low Risk,True Negative,25.927725410995876,311.1327049319505,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
9705-IOVQQ,Male,80,Yes,,Yes,2,10,61,49-72 months,,Yes,Fiber Optic,One Year,Bank Withdrawal,No,99.0,Very High,5969.3,6223.24,5,No,0,0.0025022130899220647,No,0,Low Risk,True Negative,0.24771909590228441,2.972629150827413,0.0,Fiber Optic + One Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
1320-REHCS,Male,75,Yes,,No,0,0,52,49-72 months,,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,110.75,Very High,5832.0,7023.82,5,No,0,0.1077006208805343,No,0,Low Risk,True Negative,11.927843762519172,143.13412515023006,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Encourage a more stable or convenient payment method"
2057-BOYKM,Female,70,Yes,,Yes,0,10,72,49-72 months,,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,96.6,Very High,6827.5,8849.98,4,No,0,0.000720917498807898,No,0,Low Risk,True Negative,0.06964063038484294,0.8356875646181153,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Encourage a more stable or convenient payment method"
0134-XWXCE,Female,76,Yes,,No,0,0,44,25-48 months,,Yes,DSL,One Year,Bank Withdrawal,No,74.85,High,3268.05,3589.82,5,No,0,0.11285027263992864,No,0,Low Risk,True Negative,8.446842907098658,101.3621148851839,0.0,DSL + One Year,nan + Bank Withdrawal,Low Priority,Encourage a more stable or convenient payment method
2307-FYNNL,Male,67,Yes,,No,0,0,65,49-72 months,,Yes,Fiber Optic,Two Year,Bank Withdrawal,Yes,109.05,Very High,7108.2,7359.53,3,No,0,0.04622432913130244,No,0,Low Risk,True Negative,5.0407630917685315,60.489157101222375,0.0,Fiber Optic + Two Year,nan + Bank Withdrawal,Low Priority,"Review service quality, speed complaints, and support history | Encourage a more stable or convenient payment method"
